Sentiment,textOriginal
2,"Humans are dynamic, biological, pattern machines, AI models haven't been developed yet to become dynamic. We learn from images, visions, thoughts over many years. An AI model, as of now, can specialize in weeks/days/hours in limited areas. As long as art looks like art, then it is art, regardless how it came to be.

We consume daily computer generated content without batting an eye, so I stick to the turing test standard."
2,"My opinion: It isn't fan art..  

The computer made the art and the computer isn't a fan. The fan isn't who made the art an ai made it. So if it wasn't the fans art because the fan didn't go out of their way to make art and showcase their appreciation as a fan.

It isn't fanart. It's just a picture... likely extrapulation of someones actual fanart."
0,"As an upcoming artist myself 
I really don't like AI art 
I love the fact that anyone who can't can create a piece of their imaginations n ideas

But it take away from all the artist hardwork, there should be a totally different tag for it n a water mark for AI stuff. 

It takes years to get where we are, good or bad n it takes months and years just to get 1 technique right
There lighting, shading, colour Theo, brushes, anatomy, layer blends, etc. 
And for an AI to come n potentially steal or out shine your years of hard work just sucks. 

If this goes on why would anyone ever want to do digital work anymore."
2,I’m not sure how I feel about non artists posting AI works on websites like pixiv. It just doesn’t feel right
0,"if you post your art publically you don't get to decide who sees it even if that ""who"" is an ai. artists either need to stop posting shit publicly or stop complaining"
2,"An additional point to the AI art thing, tangential to the ethical bits, is that AI art is simply much faster to produce- think up a prompt and you technically get like 10 or so works per minute. I think Pixiv is currently experiencing volumes of AI art significantly outnumbering human creations. So part of the problem would be AI art simply drowning out original human works, so it'd be preferrable to keep it separated if only just for ease of use for everyone browsing."
2,"Wait she hasn’t made an NSFW Tag in 2 years? No wonder it was an issue lel. I’m guessing Ina also has an issue with Google Images then, because Google Images also technically reposts art without asking the artists





That aside Ina is great and i think InAppropriate is my favorite lel, especially because its much more obvious than a funny in reference like the 4th wah lel"
2,"can't wait for AI to make art without artist input, how are you gonna bitch about it then when its art is gonna be better than yours?"
2,what if my family is into alabama sex?
2,"Putting aside the actual problems  people have with AI, I agree with not having AI art along with fanart drawn by other fans.
Completely glossing over the fact that in my opinion posting AI art as fanart for your favorite vtuber kinda misses the point of these tags, it would EASILY flood the whole tag and bury the rest of non-AI art.

I second someone else's statement that an AI art should exist for AI generated Ina fanart though. While I don't particularly like AI art, people are making it and if we don't want it somewhere specific we should give it another place where anyone interested can check it out. Otherwise we can't really complain that it's there, especially when we consider that tags are very important in making a work discoverable."
1,"I'm glad that this technology exists. Would I call it art? Not so sure. But it definitely makes us question current definitions of it. And yes, I don't really see the point of being upset about ""stealing"" when art is only used for training, it'll never produce a direct copy. Bad analogy would be me analyzing someone's style and eventually reproducing it, different low level approaches, but similar result."
1,"Just glad that Ina made her stand "" not okay "" on this, AI can be smart, but cant replace art draw by artist"
2,"i feel like at this point most vtubers should just have an art tag for AI art specifically to avoid some sort of streisand effect down the line.

also i'm kind of suprised the programmers/developers of these generators don't think to watermark these AI generated pictures in order to avoid this type of concern over ""art theft"" from ever happening as it's an easily avoided controversy that only brings unwanted negative attention to their project."
2,"While I would definitely prefer... a stronger statement from Ina, I'm glad she's spoken up on it and expressed her disagreement for AI art in official tags
Personally I believe NovelAI... should not be tolerated at all, creators training AI on art reposted without consent and additionally earning money with it should not be tolerated at all. The technology is one thing, the AI models available right now are something else. That's why I hoped for a stronger statement and I do hope that Ina isn't one of the artists that dismiss AI as it can't produce content high quality enough yet to directly endanger them, as it eventually will in future if things don't change. I do wish her statement was stronger not to raise such doubts

Please don't misunderstand my comment, with the actual danger of AI being released into the public I simply think being neutral/very softly negative is... the worst thing you can do as an artist as at this moment, we need action and strong statements and zero tolerance for current models"
2,Personal thought: I don't mind AI art as long it's for personal use (like making portraits for D&D characters) but should be ethically and technically avoided for professional use.
2,"You know, I kinda expected her to be not ok for a different reason
That is, that AI art shouldn't be consider ""Original Content"" of the one doing the prompt and posting it (I feel that would greatly defeat many's motivations to actually do art...)"
1,"AI art is useful! I use it for character images for my Tabletop campaigns because I have literally no art skills. 
But it's not something I would be proud of and upload anywhere as something I ""made"" or something."
1,Based Ina
2,You could create a different art tag for AI I supose
0,Ngl I think commision artist demand dropped about 70% when the AI came out which was alot of people's lively-hoods and thats pretty sad.
2,"While I agree that the AI art probably shouldn't be under the fanart tag, as it was made by an AI and not a fan, the hypocrisy around the discussion of is it stealing art to train an AI always annoys me. So it's fine for artists to take other artists works of art to look at and study without permission, but it's not fine for AI? I can outright guarantee that every artist out there has not gotten explicit permission to learn from every artist they've every learned anything from. If you think that training AI on works by artists that haven't agreed to let their works be studied is stealing, that's fine, but call out human artists too for doing the same shit."
2,"I'm not gonna lie... ... ...I was confused for a bit with the 4thWAH hashtag, since I had only heard it once way back when, and she didn't say what it meant, just that it was forbidden. Due to my constantly empty stomach, I mistook it for, ""We Are Hungry."" at the time, and stopped thinking about it.

Twitter has since explained it :I"
2,"I think a good resolve for this issue would be just creating a seperate art tag specifically for AI generated art. As Ina says in the clip, it's not going away. Why not provide and outlet for those images that doesn't interfere with actual art?"
2,"One of the worst things that can happen is a legit artist may be accused of using AI. Perhaps artists will have to return to using real media (canvas + paint) and artists will only paint ""real"" works for wealthy patrons."
0,That’s never gonna happen sorry not sorry🤷🏻‍♀️
1,"as you say 
 queen"
2,"""Quality of the input affects the quality of the output""

I think AI can have the potential to be a decent tool. The question should not be about the existence of the Ai tool, but rather it should be about the proper ownership of the Ai Input."
0,"kind of questioning the ""it's not copying it's learning from it.""
ye, 
if the AI only have 1 picture in it's database, it's just gonna copy it.
some artist gonna try to make differences,"
2,Bro real talk I tried to use the AI to make an Eldritch tentacle girl character for an RP story I'm doing with friends and it kept making the tentacles purple and the hair orange. I could see Ina everywhere.
2,"I get what she is trying to say, but I am fairly certain that art students that go to college study art by artists that may or may not even be alive to give consent for the use of their art. Who is going to consent for the art of Van Gogh or Leonardo da Vinci? No one alive should have the ability to deny the masses to such famous artists' works.

This means that the idea that art is studied by people in the same way is also inherently wrong according to Ina. I don't disagree, but I also don't think it is right to gatekeep great works of art from anyone, even an AI that is learning to make similar works of art."
0,Man I feel kinda bad for her
2,i think the hashtag should be forbidden wah
0,"Yes, that is the thing about AI art. If AI art was actually a AI trained to draw and would make art pieces from scratch, then I would be okay with it. But its not, the AI is actually taking someone else's art and using that to ""generate"" something. But the correct term would be ""the Ai is stealing art from an artist that has no way of protecting said art, and passing it out as an original piece"" THAT is why I'm against AI art, its not really AI art, its stolen art using an AI."
2,AI “art”? More like ai generated images.
2,"AI art is going to replace / heavily assist every form of digital art in the next ~10 years. 

Digital Art has no ""soul"" to begin with. This is something it has always struggled with. No one appreciates the craftsmanship behind digital art 

Time to go analog again."
1,"That's something I like about Ina that sets her apart from other vtubers: she's so cool and open-minded while keeping herself from expressing opinions on topics she's not familiar with. But when she does expresses her opinion she usually has a good deal of thought behind them. I guess she's just as prone to having knee-jerk reactions as anyone else, but she usually keeps those for herself until she's got a more thought out position 🤔"
1,"Ina is so reserved and careful with her wording choice! I think she as an artist that has said she leans more towards ""not okay"" with the whole AI shit going on, its not surprising she doesn't like how the tool is being used in this manner."
0,"Another video on AI art, another comment section full of people who have no clue how it generates images with the newest Stable Diffusion feature"
2,Think skynet is going to get triggered by all these people sayong AI art isnt the same as human art?
2,"AI art is good as an experiment, as a field study. It should exist as a novelty, rather than an alternative for real art created by real artists. 

An AI can write a top-grossing movie script. It doesn't mean that the movie is worth watching or remembering outside of surface level appeal."
2,"If there is a pro side of ai art, it would need to be a regulation of how it gets used. Like I do not mind if a company like Disney went off to utilize it for their animation projects with their own original art, that speeds up time and money for what can be amazing cinema. There's already a contractual clause where any animator's drawings while working at the company is owned by Disney. The input would still need to be processed by hard work and labor, but condensed in a bubble.  Right now, in ai art's current form it is very wild west of unfathomable possibility and anarchy."
2,How is it any different from artists using references though...?
1,Koahri is doing god's work.
2,"Yeah, but people that trained on the references also do it “without the artist’s consent”, soo…"
2,Baby takos cover your eyes
1,"Unless the AI itself loves watching Ina or Holomems streams in general and supporting them, its art can't be categorized as fan art."
2,"People need to understand that in art, one of the most fascinating things, is that someone can do, that certain thing, the work, the process, the time consumed all these thing makes artists, amazing.
But most people see it as, ""this looks as good as an human artist so AI art is amazing."""
2,No ai will get Ina back properly
2,"Anyone want to read my research paper? I basically just used a bot I found somewhere and it copy/pasted a bunch of stuff from Google for me, but *I* typed in the subject so it's *mine,* I swear!"
2,The AI art part is illegal under US copyright law but not one judge will do anything about it because of how complicated and out of date copyright law is.
1,"""not ideal"" is a good way to put it"
2,"Considering everything around AI imagery and Kim Jung Gi's death, it doesn't surprise me most artists aren't ok with it."
1,"Reminds me of when people complained about artists using digital art tools when they first started coming out.  Now they are accepted, it will be the same for Ai art, it just needs to be improved is all.  So yeah, I would agree.  For now."
0,"I, of course, respect her opinion, but I disagree on one point. If the AI was using other art to recreate that art, then sure. But as it is used, it's essentially just inspiration"
1,"I really appreciate Ina’s issues with AI art being based in fact (i.e. it’s *trained* on art that used without the artist’s consent) rather than misunderstanding (“it just mashes different bits of art together!”)

It’s fine to take issue with AI art, and we do need to have a discussion of the ethics of it going forward because as Ina says it’s not something that’s going to go away. And to that end, it’s especially important that the basic technical details aren’t misrepresented — which they sadly all too often are."
2,"This AI art thing is really scaring me. On one hand it would be cool if you can just have an AI make any image you wanna see (infinite lewds of all my favorite characters woo). But I really don’t want human-made art to go away, or for it to get a point where we can’t tell if it’s made by a human or AI."
2,Anyone who's seen how artists react to tracing (Nene incident comes to mind) knows what they probably think of AI art.
2,Art is the intersection between imagination and skills. You have artisans who are full skills and use less imagination. Then you have the AI « artists » who have no real skills but most don’t even have imagination and are happy to show whatever the AI give them.
2,"In my opinion everyone should have 3 art tags to satisfy the community. 1 for the regular art anything normal and fun, 2 for the NSFW ones for the spice people, and 3 for Ai art for those who just want to post what the Ai did.
I know not everyone will be respectful to post on what they should but I don't have any other ideas."
2,MIssed the chance to call it the 34th Wah.
2,"For AI art as long as it isn’t the same image then it’s a new image and should be treated as such. It would be like saying all cars are the same because one person invented a car and now everybody who makes cars after is simply ripping off the original design.
I get it people are afraid of losing their job as an artist, machines have been replacing people in all kinds of jobs. A machine that can learn will replace people even faster."
0,"Jesus Christ I'm sick and tired of Ina constantly whining about stuff.  How many times has she called out her chat now?  10?  I'm glad she's taking an extended break, but it needs to be a permanent one.  Permanent."
1,"BASED INA!
A real artist would've known not to touch on those AI stuffs: they are good but the ppl who used it and claimed it as theirs are pathetic af and dont deserve recognition at all"
2,"As someone who has been very interested in neural networks for nearly a decade now, I can completely understand why people are hesitant to accept AI art. I feel like it would be a good idea to put Ina AI art in it's own separate tag."
2,Ina draws any NSFW? She commissions?! Oh god please!
2,Has she asked consent from all the people's art she used to learn how to make art herself?
2,"I don't find a f. I will post what I want with the tag. Gonna post nsfw AI art, how does that taste?"
2,there are tons of human artists that willing to get their works used by AI software to train it. instead the developer choose to take anything from danbooru without thinking future consequences
2,"Honestly people need to chill with the nsfw art, she wanted to keep the hashtag SFW EVER SINCE DEBUT, but i guess people that post nsfw don't watch Ina anyway..."
1,so cute 🥰😍
1,"Agree with her 100%.
And to add, Ai art has no intent. Its value is very low."
2,"I hope that AI art just gets segregated from man-made art. All this AI art is just making me pessimistic about the future of art.😵 I can just imagine it swallowing the art industry as a whole, with people not having any motivation to draw and even learn how to draw because ""what's the point?"". When AI art can just draw for us anyway, when even if you do get good your art's just gonna be food for AI lol, when even if you do develop your own style AI can just copy it easy-peasy, imagine the years you spent learning anatomy, colors and shapes and you just get dunked on by amateurs putting descriptions in an AI's mouth to make it shit out masterpieces.

Why even learn art? Why even do art? Why fight, it's no use fighting against robots😵. 

Maybe NFT will save art? IIRC, it uses those blockchain stuff that act like keys. Maybe it'll protect future artists? Or is this just precisely the plans of big heads?

IDK, f*ck this ted talk🤣"
1,When your beloved priestess has wise words to say regarding all topics....
0,"AI art is a very dangerous proposition to the art ecosystem in and outside of the internet. 

I guess the simple fact that the AI was trained using thousands of existing art pieces drawn by other artists without their consent, makes it a huge moral quandary to tackle. 

It's like someone put a camera in your work place and then a few years later says ""you're fired, we had a robot watch everything you do until it was trained to do your job"", but it's even worse than that since artists mostly work freelance so that means their work has become a data base to replace them. 

I mean this brings us back to how much of your art do you actually own? Is simply viewing your art that you yourself put out there should be illegal without consent? And are you okay if someone else uses your art to learn how to trace and paint the same way you did to improve their skill a bad thing? 

I guess we have finally hit the stage in humanity's advance where we have to clearly specify where the line between Human and AI exists, and this frightens me a little to be honest."
0,Not surprised but still disappointed by her take on ai art.
1,"I love saying the name Ina, very addicting word to say, ina"
1,"wooohoo.. finally, an illustrator said it. F8ck AI art. it's just a mash up of unoriginal things."
1,"tbh, an official lewd hashtag for her would be great for...reasons ~"
2,"What i've seen so far, they're not 100% perfect yet, especially when drawing anatomy, sometimes you'd see mutants 2 out of 10. And some of them feels to samey, too similar color scheme despite different characters or objects. I followed abubu on pixiv, and he creates quite good AI arts, but make no mistake; he is already an illustrator/artist, knows anatomy/style/compositions/storyboard (that Japari Park meet SCP-like story? It's his) and he trained the AI using his own arts and style."
2,"As a programmer, there is another thing to think about. If you ask an AI for a picture of Ina, it will not (at least if it's any  ofthe well-known ones) just photoshop pictures from its database together (that'd be indeed a pretty bad creative rights infringement), it would create it from scratch based on their ""idea"" of what ""Ina"" is. Where did it get the idea of what ""Ina"" is? From the same place we all did - from looking at all the pretty art of her, both official and fanart. Sure, the AI needs a lot more art as its input than a human, because it's dumb (for now), but the internal process is the same. An AI transforms the art it sees into the internal representation, which isn't just a copy of the art, and more like abstract ""idea"", and then creates art based on that idea. Human artists do the same thing, they're just better at it since they need much less input to draw something, but they still need it. Think of all the art that you've seen in your entire life, all the art you've used as references while training, and never asked for a permission about it. So... can we really say that AI art is not okay because we didn't ask for permission from artists we took art from for training, if human artists do the same thing, just on a smaller scale and throughout their entire life?

I do agree with Ina on the art tag decision though. As someone in another comment said, art is more than just a pretty picture, and fanart is meant for people to express themselves, while AI expresses nothing, even if it manages to make a picture prettier than some of the fanarts. I do think, however, that there is a place for AI art, it's just not here"
0,"i tried it...and its meh, it didnt deliver the one that im looking for specifically"
2,Haha if ai art is normal we wont have unique art anymore
2,"There's definitely a copyright and ethics issue in there since AI in its current incarnation is trained on other people's art. I think AI art will eventually be considered a different form of media from a legal and social perspective and be handled differently, just like how digital art and photography are considered different from traditional art forms like sketching and oil painting despite all of them being artistic endeavours. 

As a parallel, there are several nuances involved in architectural photography. Commercial use of the photos requires permission from the architect, builder etc, but members of public can take personal photos without obtaining permission under certain conditions, like the building being a public place. Similarly, the best practices around AI art will eventually be codified and AI art makers may eventually be recognised as legitimate artists. But in the meantime, it's most sensible to respect the wishes of the artists whose works are at risk of being cannibalised by AI art generators."
2,"I see AI art in a similar vein to photorealistic art (Not my cup of tea, but I have mad respect for artists whom can produce it). Some of the more prominent photorealism artists will take many photos of a subject and then draw a picture that combines elements of each of the photos to create a new ""Ideal"" picture of the subject. The ideal picture often being replicable by... Just taking a good photo with a camera (And yes, these artists still are in business even though cameras exist which can ""Do their job"" faster and easier).

AI art does something similar, where the AI learns from art about a subject, then creates a new image based on parameters put in. The end result is still something new, rather than a copy of the source materials, it will just have a similar style as the references (Which is my main issue with AI art as art, you don't get the unique style that a human artist can end up creating which is something I really like from fanart. Mind you, not all human art has a unique style)

As far as AI art in an official art tag goes... Part of it comes down to whether the art tag is supposed to highlight talented artists, or highlight people's adoration of their oshi. With of course the concern that due to the speed at which AI art can be created compared to human art there can be ""Spam"" of AI art that obfuscates human art (Of course all issues with this could be alleviated with a dedicated AI art tag I guess)

Regarding people's concerns that AI art will put human artists out of work in the future... I don't think that's the case. Much like how cameras haven't put photorealism artists out of a job but instead created a new subcategory of artists known as photographers (Whom are able to use camera positioning, filters, timing etc. To make high quality photos). Most likely there will simply be some professional AI artists that work on curating the source art and parameter definitions to create art that more accurately fits what they imagine. Not to mention the fact that since AI art relies upon source artwork, people still need to be creating that source artwork (As I doubt that AI would learn as much from looking at its own work)"
0,"If they use dataset from copyright free website then it wouldn't be a problem, but they basically use it on website with repost and stolen art and have the gall to monetize their product."
0,"if a person exclusively uses AI to generate ""art"" without any extra steps, they are not artists, they are thieves. nothing more, probably less"
2,"I agree that the art tag is not the place for AI art, and that the ethics of training on others art is questionable (though it seems closer to 'inspiration' than 'copying'). Certainly, there is inherent value to the skill and techniques required to create something from scratch, like the difference between painting and photography. However, in my opinion AI art is just another tool in the artist's toolbox. An AI generated artwork isn't really a finished piece of work on its own. It can be a good starting point, but editing, redrawing and improving on its mistakes is still required if you want a really good piece of art. Another good use for it is in ideation, concept generation. In the end, art requires a person to give it meaning, both in terms of its creation, where an artist determines what should be conveyed and how that should be achieved, what improvements to make, and in terms of the viewer, who appreciates and interprets it."
1,"As an artist myself, I don’t mind the AI art, it’s like how back then when the Camera was first invented, it was thought that artists would all lose their jobs. But the camera is just another tool for art. AI art could be revolutionary, ie filling in the inbetweens of key frames in animation or drawing a background so you can focus on the foreground. We are just one step close to being able to print what we visual in our heads."
0,"Love how most comments here are focused on the ai aspect. But ignore the NSFW one, seems a lot of artists are given an inch, and take a mile when it comes to posting lewd stuff in the official tags. (p.s. ai art is a fools tool, and deserves the least respect imaginable)."
0,"Kinda baffles me that out of all of HoloMyth, Ame is the one that actively encourages AI art. She made fun of NFTs with that one stream she did, but for some reason she's cool with AI art anyway, which is just another grift by crypto bros now that they see NFTs falling. Was honestly disappointed by her stance. Yeah people are creating AI art and you can't stop them from making it, but that's not even the point and Ame missed on that front. Fan art tags are to showcase people's hard work and their art of their favorite streamer. People just typing words into a machine and having them say ""I mADe tHiS 🤓"" when they actually didn't defeats the whole point of an art tag and takes away from those who actually put in work. At best, and I'm even being nice about this, AI art should just be used as a reference when making an actual drawing. It shouldn't be taken as is and posted on Twitter claiming you drew it when you didn't. Glad to see Ina and the others see it this way, but extremely disappointed with Ame stance. I just hope Ame doesn't use AI art from her hashtag as thumbnails in the future because then that's when this becomes a serious problem. Still love her though, just disappointed 😔"
1,Bless the 4th wah 🙏
2,I see people who post AI art are just people who want an easy way of being noticed by their oshi. It's not okay. AI art is cool to look at but sharing it is weird. I get it's not going away but Ina being an actual artist saying it's not really okay should say alot.
2,Just call the AI art as InAInART or something like that
1,Tentai was actually hilarious in the chat
0,God she sounds so tired. I hope she will rest well on her break
2,Give us NSFW tag and your tag will be family friendly. Why didn't she choose NSFW tag for years?
2,"I understand when ina think ai art will not stop because art actually right now looks like have so much potential for profit and that sadly will be helping many companies for their ""common art"" project rather search humans, faster, cheap and quality not that bad,,, it's kinda like we as artist learn many years for the 1 technique or style to make it perfect and ai can just make art in any style and technique under an hour although they say they make it needs so much effort too you know that not fair,, it's sad, what I do now just improving my skill in animation and making the style that ai can't copy it for safe my work from ai"
2,"I don't watch Ina's streams as much as I would like to (even though I consider myself a takodachi...), can someone explain the forbidden wah/4th wah thing to me? I'm guessing it has something to do with ""the fourth wall"" but I can't figure out how that relates to lewd art."
2,I wish she'd make a nsfw hashtag would just make things easier for everyone.
0,"ina ;(, i hope you okay. You sound stresses"
1,Shoutout to the mofo that suggested PINAS as the nsfw art tag
1,"I'm gonna agree on the consent perspective... As a programmer, this is a leap in artificial intelligence and is interesting from that angle; as an art fan, I understand intently that just because someone puts something online, that creator hasn't surrendered their copyright or license over the work.

So, if the training models used art with consent, I probably wouldn't have a problem with it. I know how hard it is to ask permission in gathering so much data to bring value quickly, but that's kinda the point. It's not just data for the taking."
2,"AI art is like cheats/hacks in a video game.
It's essentially no different, both take away the effort and skill in learning how to improve as a script/3rd party software completely does everything and eliminates all perceived effort."
0,"AI is already drawing and playing videogames for us, but a robot that could make me a sammich is still outside of the realm of possibility. 
The worst timeline. When I come to power, people who create Abominable Intelligence will be turned into toilet cleaning servitors"
2,keep it family friendly? what does she mean? my family loves orgies :)
2,"Im a ok with A.I. generator in the sense of development advance (tech are cool, programming is hard,i died), but not the way it was used by 'A.I prompters' who dont even code to resell it. 

My personal opinion: 
if the DEVS want to profit from the use of A.I. generator, they can but they need to make sure the A.I are trained with consented arts, also need to advise the users to just use the generated art for personal use, not to be resold . Free arts online isn't meant to be taken for reselling, its to showcase the artist skill"
1,"Ina put it very nicely, ai art usually borrows without consent of others people’s works.
To me, its not real art if you cant make your own and it is clear the Ai dosent have that concept.
Funny enough Ai art can make “modern art” or art ranging from 2022-1890 but hasnt been developed enough for more complicated art works like da vinci. This is not to be confused with being able to make a painting similar to that style. Its rare to master a painting or style, so much more has to be done instead of just the act of drawing, painting, etc.
So much more that ai has to consider before applying"
2,"Personally I don't want to see AI art on her art tag but I don't mind seeing AI art on my bird app feed, but they should atleast put a tag that it is an AI art. Im willing to accept AI art as an art but what annoys me about AI art are the ones who are posting it and claiming it as their own then calling themselves as an artist"
1,"As cool and interesting AI art is, she has a point. It completely devalues the time and effort actual artists have put into perfecting their skills. It's much the same as the old ""payment by exposure"" for musicians."
2,"This is what you get for pirating Photoshop.

jk jk"
2,"While the tech is cool, the problem is that it kinda reduces art to just the final product rather than the process. A lot of charm comes from the skill and the emotions that go into it; seeing an image from the artists imagination and feelings take form with the abilities they have. If you're just into seeing an image for instant gratification, AI can do it, but nothing beyond that."
2,I understand her on NSFW. Like it's fine to make those and shouldn't feel discouraged to post any. But the streamer won't be on your side liking them. It's fine but don't expect her using them unless it's an batsu
1,Ina is such a good girl. <3
2,"My friend is a programmer while I'm an artist myself. We argued about AI art that we reached a fair conclusion where we saw eye-to-eye on the matter. 
The concept of AI art is outstanding and should be kept as an advancement of technology, BUT the process of using a database of material that's most likely stolen to begin with, and/or the users behind the works themselves are what's the problem. The people are given a tool much like any other, but only the terrible ones would abuse it. Ina is right on the matter where she's ""mostly"" against it.

If anyone doesn't know, a famous Korean illustrator, Kim Jung Gi, recently passed away. Someone already went ahead and trained an AI to copy his works and draw like him. What does this mean? Your works will be used without your consent after you die. This is what companies have been looking for all these years because art is one of the few things they couldn't automate until now. 
I've been recently playing Cyberpunk 2077 because of the anime, and I came across a clothing shop where the registrar was complaining that he was a fashion designer and that he used to own the store. I asked him what happened? A machine took over his job because it can put out a hundred designs in a second, and that was something he couldn't compete with. This is the future we're probably headed to.

There needs to be a law that protects the rights of these artists, otherwise, the industry will just off itself by mutually assured destruction."
1,"For an artist like Ina I understand 100% what she feel about AI art.
So I just hope the takodachis around will respect her choice."
2,"Being someone who started learning digital art two months ago, I do understand both sides of the coin. It’s terribly frustrating to see AI generates good quality artwork in a few seconds and it kind of demotivates me from working harder in art. On the other side, AI art is a convenient tool for self-taught artists to learn the basics like color selection, body posture, composition, etc."
1,"Absolutely understandable in both statements, I agree with her. AI art is pretty fascinating but using it as a way to create actual art and label it as your ""own"" is not only lazy but pretty scummy, even more if people are using it to make profit."
2,is it really that hard to make an AI art tag to put the AI art in?
0,"now that AI art has been refined to what it can create NOW, along with deepfakes, its a pandora's box that we will never be able to close, we just have to prepare ourselves for the coming hellish dystopia"
1,"I think what a lot of people are missing is there's more to art than the pretty picture that comes out at the end.  It's like if someone bakes you a cake from scratch rather than buying a pre-made one from a store.  Sure, they followed a recipe, and they're both cakes, they may even be identical cakes, but you understand that you attach a higher emotional value to one over the other.
The fanart tags are, in spirit, meant to be a showcase for people who have put in that hard work and discipline, it's not simply just a place where pretty pictures go.  I'd agree that AI art has no place there."
